,Codigo_Municipio,Codigo_Municipio Latitude,Codigo_Municipio Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,25183,5.1447,-73.6858,Villa cecilia,5.141552135202126,-73.69103427229075,Restaurant
1,25183,5.1447,-73.6858,parador punto exacto,5.148967065229117,-73.68159502386054,Arepa Restaurant
2,25183,5.1447,-73.6858,Mis Antojitos,5.143400733387771,-73.68993412524381,Coffee Shop
3,25183,5.1447,-73.6858,Panaderia Y Cafeteria Los Cristales,5.143877272411246,-73.6897856214946,Breakfast Spot
4,25426,5.0815,-73.6076,Machetá,5.080417180734531,-73.60860661777923,City
5,25426,5.0815,-73.6076,Plaza de Mercado,5.081206662725886,-73.60830762014481,Plaza
6,25426,5.0815,-73.6076,"Hotel, Camping Y Spa El Zhay",5.078642790653976,-73.60512786852432,Campground
7,25426,5.0815,-73.6076,Polideportivo Municipal,5.079526424407959,-73.6112289428711,Soccer Field
8,25436,5.0086,-73.5412,Manta,5.008645505750266,-73.54143151245908,Historic Site
9,25436,5.0086,-73.5412,Parque central de Manta,5.00861323855486,-73.5412465128398,Park
10,25736,5.0446,-73.7972,Plaza Central de Sesquilé,5.044694344937485,-73.79656149400454,Plaza
11,25736,5.0446,-73.7972,Sesquile restaurante sol y luna,5.04317706620786,-73.7979163361972,BBQ Joint
12,25736,5.0446,-73.7972,Frida Cacao Chocolateria,5.051328954619856,-73.79629635748334,Dessert Shop
13,25736,5.0446,-73.7972,Covadonga,5.041089087048773,-73.79042526034969,Stables
14,25736,5.0446,-73.7972,Restaurante Campestre Manairos,5.037710189819336,-73.802978515625,Steakhouse
15,25772,5.1029,-73.7985,Suesca,5.103111911841173,-73.79874929884177,Resort
16,25772,5.1029,-73.7985,Casona Quesada,5.10394,-73.79947,Hotel
17,25772,5.1029,-73.7985,Plaza Central de Suesca,5.102895700716542,-73.79891589095222,Park
18,25772,5.1029,-73.7985,Informacion Turistica,5.098619,-73.795372,Tourist Information Center
19,25807,5.0523,-73.5046,Parque Central,5.053098,-73.505373,Park
20,25807,5.0523,-73.5046,Donde Ceci Salon De Onces,5.051370033037148,-73.50793511439876,Tea Room
21,25873,5.2162,-73.5949,parque central Villapinzón,5.216390610903596,-73.59463376613469,Park
